Hero,rank 123 pick,rank 123 Win Rate,rank 4 pick,rank 4 Win Rate,rank 5 pick,rank 5 Win Rate,rank 6 pick,rank 6 Win Rate,rank 78 pick,rank 78 Win Rate
Pudge,28.409,50.2612,27.7971,49.3353,24.7003,47.9363,18.1108,46.2015,7.4078,42.0503
Ogre Magi,25.5783,54.9799,24.5599,54.1236,21.1103,53.2708,17.4288,51.7476,10.8119,49.735
Lion,25.4022,47.7676,24.7276,47.4128,22.6741,47.6526,18.3516,48.0529,10.8812,47.1531
Sniper,24.6138,51.8673,17.009,52.2538,12.163,50.6662,7.5661,49.7294,3.8384,49.4967
Phantom Assassin,23.5056,49.2723,18.8685,48.3119,15.1302,47.6055,11.0387,47.0584,5.721,45.4354
Juggernaut,22.2599,48.9023,23.1166,49.919,22.7373,49.2981,21.1775,48.5338,14.5597,46.0834
Wraith King,20.0276,57.1981,18.0394,55.4773,17.623,55.0802,17.9797,53.4421,17.8986,52.1587
Legion Commander,18.0747,49.8291,15.5358,49.0709,14.1635,49.4223,14.1352,49.379,14.1321,47.6572
Crystal Maiden,17.5464,53.2054,15.2732,51.8509,13.1956,51.4952,10.8874,50.4906,7.1906,49.3978
Witch Doctor,17.3749,50.7429,15.9932,51.2502,14.3714,50.7032,12.0045,49.7514,8.4989,49.2553
Slark,16.2482,50.3234,16.5261,49.6371,16.2855,49.1879,16.0897,49.4825,15.4044,49.8962
Bristleback,16.1375,51.097,12.7468,50.0212,10.4752,48.5868,8.525,47.5868,7.0187,46.3173
Faceless Void,16.1071,47.7875,14.6004,48.1418,13.2014,48.7605,12.026,48.8547,10.584,48.3257
Windranger,15.1629,48.9996,13.9834,48.3605,13.6279,48.6637,11.6326,48.3776,7.4064,48.0661
Axe,14.6779,52.4153,13.4517,52.0027,12.277,52.0681,11.3023,51.4917,9.8473,52.8209
Dazzle,14.6576,52.2928,15.1093,52.3414,13.892,50.4378,11.8879,50.461,8.1112,50.312
Anti-Mage,14.5535,48.1563,14.736,48.7738,14.0976,50.2867,12.7927,50.2928,10.4068,48.8029
Monkey King,13.7642,48.3587,13.2585,49.3963,13.852,50.0222,13.8556,50.2503,12.3321,49.449
Invoker,13.3594,45.6001,16.2966,45.6016,16.7321,46.4278,15.0115,47.1621,9.4262,49.0742
Shadow Shaman,13.2718,48.6591,11.2726,48.8375,9.6906,48.8379,8.5173,49.0713,6.2566,48.9565
Drow Ranger,13.0413,49.1162,9.387,51.1734,7.8553,51.8231,6.3616,52.4375,3.111,47.8372
Bloodseeker,12.9085,54.6357,8.5107,54.874,6.8209,54.2924,6.1604,52.5509,6.1287,51.3043
Zeus,11.8731,50.9823,10.5916,50.3637,10.2897,51.0307,8.7331,49.3366,5.2134,48.3005
Spirit Breaker,11.685,50.2327,9.9291,50.9809,9.0611,50.4716,8.91,50.4438,9.0812,50.4841
Silencer,11.4738,49.5821,11.1185,49.6022,10.3763,49.4694,8.9232,48.7209,5.9542,46.2967
Phantom Lancer,11.2074,52.1349,10.3252,51.2848,10.3104,51.9659,11.6534,51.3574,16.0493,51.4693
Lich,11.2074,51.2381,13.0822,51.6507,15.1186,51.4158,18.0768,50.4759,21.2867,49.5775
Earthshaker,10.9953,48.2012,12.4082,48.7974,13.1913,48.7129,12.8752,48.7039,13.354,50.7133
Weaver,10.9732,49.6764,9.0474,50.9475,8.4167,51.5689,8.0656,51.4064,7.7235,52.1821
Snapfire,10.9593,50.4543,16.2841,50.5414,20.3572,50.381,24.0291,49.7213,26.2204,49.6544
Troll Warlord,10.5278,53.7484,7.7071,52.2528,7.4646,50.8174,8.1891,49.5636,10.215,50.9586
Rubick,10.4891,46.7123,14.4723,46.7156,17.4883,47.3968,19.8703,48.5352,24.928,49.2624
Bounty Hunter,10.4356,50.4859,9.826,51.8637,10.3497,52.4197,10.6099,54.1132,9.8273,53.4978
Skywrath Mage,10.3591,50.7343,8.7364,49.7049,8.2315,49.7357,8.2641,49.3745,7.3931,47.3779
Lina,10.2586,46.243,11.2688,48.0354,12.9904,49.2472,14.7784,49.8591,14.2053,49.7561
Mirana,10.2143,50.2617,12.6975,50.2158,12.9827,50.7858,11.421,50.9142,9.6234,50.5607
Ursa,10.124,53.0965,10.3903,54.1438,11.1778,52.807,12.0371,52.2623,10.4188,51.1253
Jakiro,9.9331,54.191,11.7398,53.4987,12.8114,53.0155,13.4726,52.9869,12.0096,52.5072
Shadow Fiend,9.9119,49.2186,12.3448,48.9165,13.9948,49.0412,15.0344,48.0594,15.4258,46.6833
Slardar,9.5486,50.2317,10.0468,50.027,9.9216,51.263,9.6538,50.3377,7.8847,49.3747
Necrophos,9.4555,51.9843,9.7262,53.6011,9.2779,52.6826,8.5347,52.6054,7.1626,51.7857
Dragon Knight,9.45,53.1271,7.0598,51.7408,5.1238,51.7018,3.7556,51.8196,3.7785,52.2214
Huskar,9.3863,51.1296,7.3978,52.5671,7.0727,53.5245,7.8381,54.51,7.8101,53.0194
Nature's Prophet,9.2287,44.1702,7.3843,43.3683,7.2313,44.1196,7.564,46.7345,10.6147,48.3368
Lifestealer,9.2176,46.2938,8.5845,46.9312,7.7287,46.9838,7.1644,46.5427,5.5718,47.9435
Medusa,9.1438,49.4605,7.2432,47.9661,5.3795,45.731,3.5405,43.2686,2.2889,40.3376
Viper,9.0894,46.2365,6.5801,46.483,4.9775,47.1188,3.5842,46.535,2.177,45.1652
Riki,8.8958,51.4718,8.4109,54.1771,9.2875,53.8592,10.9672,53.9571,12.5826,52.6789
Disruptor,8.5915,50.5151,10.8168,50.9606,12.1653,50.4414,13.4185,49.2812,13.3127,49.5196
Morphling,8.5768,48.6132,9.5623,47.9033,10.0933,46.3477,11.2017,47.4016,14.649,47.3306
Sven,8.3887,48.7689,6.1162,47.1256,4.5459,47.4847,3.3275,46.5179,2.0104,44.7316
Queen of Pain,8.0134,49.0047,9.5178,50.818,10.7162,51.1729,12.0211,51.9623,12.0243,53.5401
Techies,7.924,49.7556,7.0875,48.6908,7.0496,47.3158,6.2589,47.7995,4.0436,46.0955
Storm Spirit,7.8299,44.1592,9.1646,45.4351,9.7688,46.6579,9.9022,47.8909,10.5294,49.4242
Kunkka,7.7331,46.1905,7.9974,45.729,7.6378,47.1394,6.5184,45.8116,5.9622,45.8324
Void Spirit,7.5644,48.3422,10.0962,49.5781,12.8564,50.3533,15.4417,50.5796,19.7026,49.459
Luna,7.5598,52.5307,6.4325,52.6191,5.6278,52.2985,4.2177,52.1302,2.6886,51.5361
Alchemist,7.5137,51.54,7.2166,52.6541,6.0709,52.8632,5.2619,52.7953,4.1182,49.5308
Spectre,7.2232,52.1572,7.0793,49.5439,6.6649,49.5609,6.1021,48.9255,5.4412,46.5719
Vengeful Spirit,7.1283,55.0252,7.5319,54.2684,7.2147,53.9861,6.6551,54.5767,4.7337,51.5902
Mars,7.0065,48.9011,9.9627,50.1606,13.0693,49.7481,17.016,49.5942,22.8416,48.8159
Ember Spirit,6.8756,46.8418,9.1412,46.5186,10.6034,46.42,11.9684,46.8985,15.6589,50.2169
Ancient Apparition,6.6138,50.1463,8.616,51.4453,9.1235,50.1898,8.8462,49.9607,8.3431,48.7064
Meepo,6.5741,60.2945,6.0891,58.6526,6.0767,57.7356,6.3776,57.7785,6.8535,57.6982
Underlord,6.5612,56.3237,8.7185,57.2442,9.8997,55.5922,10.1887,54.0279,7.8847,50.3548
Keeper of the Light,6.1288,49.9473,6.5644,50.6034,6.6846,50.8264,6.9715,51.662,9.1997,52.9471
Clockwerk,6.0651,51.3073,8.3881,53.3216,10.0521,53.558,11.242,52.8729,12.6425,52.9455
Pugna,5.8319,51.0355,5.6837,50.1193,6.3951,51.6103,7.7014,53.3153,10.0644,52.6608
Chaos Knight,5.7802,49.6091,3.7173,49.7883,2.5913,48.9971,1.9635,49.0459,1.3536,50.4921
Venomancer,5.7055,50.1131,5.5736,50.5743,5.1458,51.0324,4.2413,51.0878,3.0363,53.6638
Undying,5.6484,51.061,5.1466,49.8787,4.4289,50.7736,4.2871,50.4288,4.7697,50.1675
Grimstroke,5.6355,46.9404,7.502,46.5861,8.9229,46.7446,9.8273,45.4673,11.4367,44.3732
Timbersaw,5.6041,47.9927,6.5785,48.5978,7.2979,48.1641,8.4021,50.3798,11.927,50.8154
Templar Assassin,5.5774,46.1398,6.1981,47.5094,6.991,50.0413,8.2384,50.5053,10.3296,52.3926
Razor,5.5479,50.7894,5.203,52.4246,5.5261,52.5498,6.1861,53.1067,6.6963,53.0043
Tinker,5.5276,46.5221,6.6517,46.0559,7.0311,46.6243,6.8716,47.1324,5.1774,48.3787
