Hero,rank 123 pick,rank 123 Win Rate,rank 4 pick,rank 4 Win Rate,rank 5 pick,rank 5 Win Rate,rank 6 pick,rank 6 Win Rate,rank 78 pick,rank 78 Win Rate
Pudge,28.4019,50.3319,27.8446,49.3363,24.7351,47.9122,18.1334,46.2258,7.4219,42.0242
Ogre Magi,25.5621,54.935,24.578,54.0484,21.1184,53.284,17.432,51.6939,10.779,49.7916
Lion,25.4499,47.779,24.7564,47.3915,22.6735,47.6667,18.3431,48.0182,10.8947,47.1021
Sniper,24.6023,51.8854,16.9963,52.171,12.1285,50.7123,7.543,49.934,3.8538,49.3644
Phantom Assassin,23.5011,49.2096,18.8707,48.3317,15.1543,47.605,11.0509,47.0932,5.7032,45.6454
Juggernaut,22.2707,48.8802,23.1304,49.8822,22.7563,49.3135,21.2043,48.5068,14.5172,45.9973
Wraith King,20.0022,57.0728,18.0432,55.4576,17.6026,55.0829,17.9735,53.4537,17.9478,52.1646
Legion Commander,18.0741,49.8852,15.5386,49.0898,14.1684,49.3999,14.1651,49.3026,14.1647,47.6222
Crystal Maiden,17.5292,53.211,15.2835,51.8653,13.1826,51.5262,10.8867,50.5385,7.1905,49.4133
Witch Doctor,17.3406,50.6796,15.9576,51.2624,14.3554,50.6856,11.9897,49.7303,8.4956,49.5915
Slark,16.2724,50.3911,16.5333,49.679,16.2948,49.1708,16.0796,49.5668,15.4031,49.7835
Faceless Void,16.1272,47.8164,14.5877,48.099,13.226,48.8098,12.0579,48.8949,10.5926,48.2913
Bristleback,16.0913,51.1747,12.7205,50.0043,10.438,48.5657,8.4704,47.5375,6.9538,46.3796
Windranger,15.174,49.0058,13.9664,48.3367,13.6197,48.6502,11.6052,48.3343,7.4151,47.9904
Dazzle,14.6667,52.1985,15.1029,52.3457,13.9156,50.4422,11.8831,50.4216,8.1377,50.3678
Axe,14.6582,52.3316,13.4196,51.9421,12.263,51.9832,11.2428,51.4096,9.7992,52.701
Anti-Mage,14.5828,48.0571,14.7739,48.7906,14.1128,50.2068,12.8027,50.1693,10.4143,48.7782
Monkey King,13.7672,48.2947,13.2473,49.3959,13.8296,50.037,13.8495,50.2616,12.3154,49.4254
Invoker,13.375,45.5449,16.2999,45.607,16.7169,46.3787,15.0271,47.1127,9.4128,49.1831
Shadow Shaman,13.243,48.5476,11.2784,48.9627,9.707,48.7279,8.5479,49.0522,6.2597,48.7173
Drow Ranger,13.0563,49.1478,9.3839,51.1903,7.8549,51.7402,6.3725,52.4367,3.1271,47.9547
Bloodseeker,12.9234,54.5341,8.5298,54.9547,6.8201,54.2225,6.1743,52.5667,6.1441,51.3621
Zeus,11.8806,50.9483,10.5926,50.3226,10.2905,50.9794,8.7106,49.3187,5.201,48.2731
Spirit Breaker,11.6836,50.234,9.9363,50.8557,9.079,50.4996,8.9452,50.4488,9.0889,50.4865
Silencer,11.5148,49.4718,11.1378,49.6706,10.4152,49.445,8.9459,48.6812,5.9889,46.3758
Phantom Lancer,11.2254,52.1333,10.3459,51.3348,10.3213,51.9894,11.6578,51.4081,16.0427,51.4801
Lich,11.1763,51.2147,13.0773,51.568,15.105,51.3593,18.0773,50.4697,21.3186,49.4765
Earthshaker,11.0208,48.2847,12.4482,48.8437,13.2232,48.7574,12.8809,48.7889,13.3306,50.7247
Snapfire,11.0198,50.3165,16.3449,50.5439,20.4355,50.4237,24.1493,49.7748,26.3618,49.6696
Weaver,10.9821,49.7767,9.0488,51.1085,8.4119,51.6672,8.0391,51.3702,7.6832,52.3025
Troll Warlord,10.5597,53.7589,7.7062,52.2391,7.4793,50.8623,8.1919,49.5271,10.2483,51.0025
Rubick,10.5295,46.7138,14.4955,46.8026,17.5237,47.4133,19.9144,48.5047,25.0187,49.2194
Bounty Hunter,10.4749,50.513,9.8663,51.8812,10.3848,52.3742,10.6472,54.0315,9.8577,53.5339
Skywrath Mage,10.3674,50.8093,8.7548,49.7714,8.2395,49.6792,8.2729,49.5146,7.3865,47.3102
Lina,10.2816,46.1806,11.2623,48.0015,12.9617,49.2604,14.7919,49.8318,14.1702,49.6302
Mirana,10.1995,50.2865,12.6944,50.151,12.9857,50.7093,11.4126,50.8873,9.5965,50.3828
Ursa,10.1458,53.1642,10.3987,54.2112,11.175,52.8047,12.0366,52.2288,10.4252,51.129
Jakiro,9.9158,54.1504,11.7408,53.3582,12.7912,52.9916,13.4615,53.0303,11.9793,52.6979
Shadow Fiend,9.8837,49.2988,12.3426,48.9644,14.002,48.9871,15.0228,48.0533,15.4412,46.6907
Slardar,9.5697,50.1773,10.0936,50.0578,9.9646,51.2688,9.6757,50.3709,7.9458,49.3577
Dragon Knight,9.4396,53.2061,7.0404,51.6378,5.0977,51.7799,3.731,51.8666,3.749,52.4137
Necrophos,9.4227,52.0612,9.6996,53.5865,9.2727,52.6271,8.5358,52.4352,7.1402,51.6866
Huskar,9.384,51.0197,7.4072,52.6145,7.0954,53.5472,7.882,54.5487,7.8519,53.1369
Nature's Prophet,9.2313,44.1221,7.3711,43.4936,7.1941,44.2476,7.5473,46.7702,10.5477,48.2389
Lifestealer,9.1973,46.1609,8.5837,46.9636,7.7298,46.9429,7.1678,46.6289,5.597,48.0914
Medusa,9.1803,49.4916,7.2533,47.9313,5.3944,45.751,3.5505,43.3346,2.282,40.2504
Viper,9.0936,46.2001,6.5781,46.5236,4.9746,47.0816,3.591,46.4476,2.1705,45.141
Riki,8.8899,51.5431,8.3992,54.1617,9.2818,53.7359,10.9429,53.8576,12.5699,52.5928
Disruptor,8.5835,50.3954,10.8394,50.9202,12.1963,50.4851,13.4196,49.2665,13.3659,49.3687
Morphling,8.5656,48.6626,9.5684,47.9033,10.0885,46.3457,11.2008,47.4081,14.6383,47.3087
Sven,8.4016,48.8272,6.124,47.1324,4.5568,47.4937,3.3458,46.5378,2.0235,44.7209
Queen of Pain,7.982,48.8778,9.4856,50.8407,10.6578,51.2251,11.9499,51.906,11.9657,53.4288
Techies,7.932,49.994,7.0871,48.7806,7.056,47.4113,6.2539,47.875,4.0566,46.1254
Storm Spirit,7.8321,44.1194,9.1733,45.4413,9.7603,46.6876,9.8897,47.9448,10.4783,49.4025
Kunkka,7.7444,46.092,8.0102,45.7333,7.6548,47.2016,6.5182,45.8242,5.9767,45.8561
Void Spirit,7.5794,48.4388,10.1164,49.6209,12.8788,50.3001,15.4507,50.5726,19.7101,49.4959
Luna,7.5596,52.5692,6.4025,52.6516,5.6228,52.3679,4.2121,51.9993,2.693,51.3895
Alchemist,7.4898,51.5735,7.1844,52.684,6.0188,52.7823,5.2106,52.7004,4.0348,49.2411
Spectre,7.2466,52.2638,7.1027,49.5892,6.6978,49.5641,6.1352,48.9632,5.4691,46.5289
Vengeful Spirit,7.1193,55.0787,7.5245,54.2023,7.2166,54.0315,6.649,54.628,4.7533,51.503
Mars,6.9826,48.8927,9.9519,50.201,13.0832,49.7889,17.0042,49.6384,22.8686,48.7771
Ember Spirit,6.8572,46.8307,9.1222,46.3661,10.5501,46.5018,11.8902,46.8471,15.5038,50.1448
Meepo,6.6092,60.3423,6.1168,58.8443,6.1265,57.6883,6.4308,57.9622,6.9456,57.7978
Ancient Apparition,6.6017,50.257,8.6092,51.3361,9.1346,50.1619,8.8478,49.9919,8.3676,48.6908
Underlord,6.5696,56.415,8.7137,57.1747,9.9276,55.6606,10.213,54.102,7.8982,50.4651
Clockwerk,6.0775,51.3651,8.3981,53.4145,10.0645,53.5081,11.2563,52.9452,12.6474,52.8405
Keeper of the Light,6.068,50.0,6.4786,50.6862,6.5656,50.8982,6.8359,51.575,9.029,52.8862
Pugna,5.8286,51.1808,5.6839,50.0977,6.3842,51.6467,7.6574,53.2436,10.0483,52.6679
Chaos Knight,5.7578,49.435,3.7133,49.8054,2.5981,48.9067,1.9664,49.1507,1.3526,50.4024
Venomancer,5.7116,50.0825,5.5744,50.4934,5.1458,51.0502,4.2434,51.0467,3.0223,53.7145
Undying,5.6598,51.0244,5.1321,49.9296,4.4136,50.6703,4.2853,50.4477,4.7234,50.3313
Grimstroke,5.6155,46.9106,7.4411,46.5347,8.8845,46.783,9.7894,45.6043,11.3342,44.267
Timbersaw,5.5929,48.2467,6.5764,48.5972,7.2852,48.0803,8.437,50.3706,11.9439,50.8032
Templar Assassin,5.5768,46.0524,6.1974,47.5071,6.9656,50.0481,8.2423,50.6639,10.2973,52.2796
Razor,5.558,50.687,5.2099,52.4586,5.5443,52.6398,6.2176,53.1032,6.7197,53.1186
Tinker,5.5316,46.5655,6.6381,45.9606,7.0193,46.5969,6.8416,47.0447,5.1425,48.399
Dark Willow,5.4477,50.4672,6.3397,50.2366,6.9787,51.1079,7.6354,51.9918,8.452,52.0367
